"Network_Type","Round","Guess"
"Decentralized",1,257
"Decentralized",1,243
"Decentralized",1,321
"Decentralized",1,350
"Decentralized",1,234
"Decentralized",1,174
"Decentralized",1,283
"Decentralized",1,275
"Decentralized",1,328
"Decentralized",1,480
"Decentralized",1,263
"Decentralized",1,327
"Decentralized",1,210
"Decentralized",1,203
"Decentralized",1,230
"Decentralized",1,250
"Decentralized",2,272
"Decentralized",2,226
"Decentralized",2,325
"Decentralized",2,332
"Decentralized",2,263
"Decentralized",2,275
"Decentralized",2,257
"Decentralized",2,280
"Decentralized",2,295
"Decentralized",2,450
"Decentralized",2,248
"Decentralized",2,310
"Decentralized",2,265
"Decentralized",2,218
"Decentralized",2,267
"Decentralized",2,275
"Centralized",1,306
"Centralized",1,283
"Centralized",1,398
"Centralized",1,432
"Centralized",1,357
"Centralized",1,380
"Centralized",1,322
"Centralized",1,300
"Centralized",1,310
"Centralized",1,468
"Centralized",1,315
"Centralized",1,375
"Centralized",1,325
"Centralized",1,314
"Centralized",1,365
"Centralized",1,325
"Centralized",2,335
"Centralized",2,321
"Centralized",2,398
"Centralized",2,405
"Centralized",2,358
"Centralized",2,365
"Centralized",2,345
"Centralized",2,310
"Centralized",2,320
"Centralized",2,425
"Centralized",2,336
"Centralized",2,382
"Centralized",2,360
"Centralized",2,347
"Centralized",2,370
"Centralized",2,325
