from,to
2,2
2,3
2,19
2,20
2,25
2,29
3,2
3,3
3,19
3,20
3,25
3,29
4,4
4,17
4,24
4,25
4,28
4,60
4,61
8,8
8,25
11,11
11,25
14,14
14,49
17,4
17,17
17,24
17,25
17,28
17,60
17,61
19,2
19,3
19,19
19,20
19,21
19,25
19,26
19,29
19,33
19,56
20,2
20,3
20,19
20,20
20,21
20,25
20,26
20,29
20,33
20,56
21,19
21,20
21,21
21,25
21,26
21,35
21,44
21,56
23,14
23,23
23,49
23,63
24,4
24,17
24,24
24,25
24,28
24,60
24,61
25,2
25,3
25,8
25,17
25,19
25,20
25,21
25,25
25,26
25,28
25,29
25,33
25,35
25,44
25,56
26,19
26,20
26,21
26,25
26,26
26,35
26,44
26,56
28,4
28,17
28,24
28,25
28,28
28,60
28,61
29,2
29,3
29,19
29,20
29,25
29,29
33,19
33,20
33,33
35,21
35,25
35,26
35,35
35,44
35,56
44,21
44,25
44,26
44,35
44,44
44,56
48,25
49,14
49,23
49,49
49,63
50,50
52,25
52,52
52,56
56,19
56,20
56,21
56,25
56,26
56,35
56,44
56,56
58,25
58,58
60,4
60,17
60,24
60,25
60,28
60,60
60,61
61,4
61,17
61,24
61,25
61,26
61,28
61,60
61,61
63,14
63,23
63,49
63,63
