"Network_Type","Round","Guess"
"Decentralized",1,382
"Decentralized",1,254
"Decentralized",1,320
"Decentralized",1,263
"Decentralized",1,425
"Decentralized",1,240
"Decentralized",1,409
"Decentralized",1,287
"Decentralized",1,274
"Decentralized",1,
"Decentralized",1,
"Decentralized",1,
"Decentralized",2,382
"Decentralized",2,320
"Decentralized",2,340
"Decentralized",2,300
"Decentralized",2,300
"Decentralized",2,320
"Decentralized",2,320
"Decentralized",2,282
"Decentralized",2,282
"Decentralized",2,
"Decentralized",2,
"Decentralized",2,
"Centralized",1,500
"Centralized",1,410
"Centralized",1,296
"Centralized",1,451
"Centralized",1,400
"Centralized",1,380
"Centralized",1,450
"Centralized",1,230
"Centralized",1,330
"Centralized",1,
"Centralized",1,
"Centralized",1,
"Centralized",2,420
"Centralized",2,400
"Centralized",2,462
"Centralized",2,425
"Centralized",2,350
"Centralized",2,380
"Centralized",2,440
"Centralized",2,290
"Centralized",2,330
"Centralized",2,
"Centralized",2,
"Centralized",2,
